# ORCID IDs of authors from papers cited in 2025 publications (OpenAlex ID: A5052404353)
# Total unique authors with ORCID: 1684
# Format: ORCID_ID | OpenAlex_ID | Display_Name

0000-0001-9936-2527 | A5088612353 | Andrew Hoell
0000-0001-9936-6886 | A5025734098 | Philip Nuss
0000-0001-9945-2792 | A5068318968 | Sharon L. Harlan
0000-0001-9949-1783 | A5050728393 | Paul J. Beggs
0000-0001-9955-1512 | A5018335704 | Qingyun Duan
0000-0001-9957-2460 | A5041082173 | Idris A. Eckley
0000-0001-9957-3463 | A5008936320 | Mark Maslin
0000-0001-9972-0937 | A5058313218 | Svitlana Krakovska
0000-0001-9978-7867 | A5078432586 | Ronald E. Stewart
0000-0001-9979-870X | A5039461898 | Gabi Schneider
0000-0001-9989-0768 | A5000368497 | Juhyun Song
0000-0002-0001-3448 | A5058027565 | Rodrigo Manzanas
0000-0002-0010-186X | A5041110603 | Michelle Ε. Portman
0000-0002-0012-1318 | A5001018156 | José Daniel Pabón-Caicedo
0000-0002-0016-7199 | A5100736205 | Jiwoo Lee
0000-0002-0020-7461 | A5075762436 | David I. Armstrong McKay
0000-0002-0038-2358 | A5102827482 | Bénédicte Dousset
0000-0002-0038-8151 | A5085901023 | Klement Tockner
0000-0002-0055-6637 | A5100669374 | Zhiping Li
0000-0002-0057-4878 | A5042973034 | Mathias Hauser
0000-0002-0079-3149 | A5035535181 | Ian Walker
0000-0002-0117-3486 | A5083611131 | Dann Mitchell
0000-0002-0158-3389 | A5030745306 | Xiaohong Quan
0000-0002-0159-6657 | A5054334378 | Bertil Forsberg
0000-0002-0162-0098 | A5027645403 | Augustin Colette
0000-0002-0163-545X | A5001259201 | Kiyoshi Takahashi
